Tiempo(s),Pitch(rad),Roll(rad),Yaw(rad)
39.48,-0.055,-0.052,-2.093
39.53,-0.055,-0.052,-2.093
40.08,-0.055,-0.052,-2.093
40.14,-0.055,-0.052,-2.093
40.69,-0.055,-0.052,-2.093
40.74,-0.055,-0.052,-2.093
40.79,-0.055,-0.052,-2.093
41.34,-0.055,-0.052,-2.093
41.39,-0.055,-0.052,-2.093
41.94,-0.055,-0.052,-2.093
41.99,-0.055,-0.052,-2.093
42.04,-0.055,-0.052,-2.093
42.6,-0.055,-0.052,-2.093
42.65,-0.055,-0.052,-2.093
42.7,-0.055,-0.052,-2.093
43.25,-0.055,-0.052,-2.093
43.3,-0.056,-0.052,-2.093
43.35,-0.055,-0.052,-2.093
43.9,-0.052,-0.051,-2.097
43.95,-0.052,-0.051,-2.097
44.5,-0.053,-0.051,-2.112
44.55,-0.055,-0.051,-2.127
44.6,-0.055,-0.051,-2.127
45.16,-0.054,-0.051,-2.128
45.21,-0.055,-0.051,-2.127
45.76,-0.054,-0.051,-2.126
45.81,-0.057,-0.051,-2.118
45.86,-0.057,-0.051,-2.094
46.41,-0.055,-0.052,-2.086
46.46,-0.054,-0.052,-2.089
46.51,-0.054,-0.052,-2.089
47.06,-0.054,-0.052,-2.089
47.11,-0.054,-0.052,-2.09
47.66,-0.054,-0.052,-2.09
47.71,-0.054,-0.052,-2.09
47.77,-0.054,-0.052,-2.09
48.32,-0.054,-0.052,-2.09
48.37,-0.054,-0.052,-2.09
48.42,-0.054,-0.052,-2.091
48.97,-0.054,-0.052,-2.091
49.02,-0.054,-0.052,-2.091
49.57,-0.054,-0.052,-2.091
49.62,-0.054,-0.052,-2.091
49.67,-0.054,-0.052,-2.091
50.22,-0.053,-0.052,-2.091
50.27,-0.053,-0.052,-2.091
50.32,-0.053,-0.052,-2.091
50.88,-0.053,-0.052,-2.091
50.93,-0.053,-0.052,-2.092
51.48,-0.053,-0.052,-2.092
51.53,-0.053,-0.052,-2.092
51.58,-0.053,-0.052,-2.092
52.13,-0.053,-0.052,-2.092
52.18,-0.053,-0.052,-2.092
52.23,-0.053,-0.052,-2.092
52.78,-0.053,-0.052,-2.092
52.83,-0.053,-0.052,-2.092
53.39,-0.053,-0.052,-2.093
53.44,-0.053,-0.052,-2.093
53.49,-0.053,-0.052,-2.093
54.04,-0.053,-0.052,-2.093
54.09,-0.053,-0.052,-2.093
54.14,-0.053,-0.052,-2.093
54.69,-0.053,-0.052,-2.093
54.74,-0.053,-0.052,-2.093
54.79,-0.053,-0.052,-2.093
55.34,-0.053,-0.052,-2.093
55.39,-0.053,-0.052,-2.093
55.45,-0.053,-0.052,-2.094
56.0,-0.053,-0.052,-2.093
56.05,-0.053,-0.052,-2.094
56.6,-0.053,-0.052,-2.094
56.65,-0.053,-0.052,-2.094
57.2,-0.053,-0.052,-2.094
57.25,-0.053,-0.052,-2.094
57.3,-0.053,-0.052,-2.094
57.85,-0.053,-0.052,-2.094
57.9,-0.053,-0.052,-2.094
57.96,-0.053,-0.052,-2.094
58.51,-0.053,-0.052,-2.094
58.56,-0.053,-0.052,-2.094
58.61,-0.053,-0.052,-2.095
59.16,-0.053,-0.052,-2.095
59.21,-0.053,-0.052,-2.094
59.76,-0.053,-0.052,-2.095
59.81,-0.053,-0.051,-2.095
59.86,-0.053,-0.051,-2.094
60.42,-0.053,-0.051,-2.094
60.47,-0.053,-0.051,-2.094
61.02,-0.053,-0.051,-2.094
61.07,-0.053,-0.051,-2.094
