Tiempo(s),Pitch(rad),Roll(rad),Yaw(rad)
1215.43,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1215.48,-0.001,0.0,0.004,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.53,-0.001,0.0,0.004,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.58,-0.001,0.0,0.004,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.63,-0.001,0.0,0.004,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.68,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.73,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.78,-0.001,0.0,0.004,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.83,-0.001,0.0,0.004,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1215.88,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1215.93,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1215.98,-0.001,0.0,0.004,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1216.03,-0.001,0.0,0.004,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1216.08,-0.001,0.0,0.004,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1216.13,-0.001,0.0,0.004,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1216.18,-0.001,0.0,0.003,0.002,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1216.23,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.28,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.33,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.38,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1216.43,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1216.48,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1216.53,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1216.58,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1216.63,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1216.68,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.73,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.78,-0.001,0.0,0.004,0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1216.83,-0.001,0.0,0.003,0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.88,-0.001,0.0,0.004,0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.93,-0.001,0.0,0.004,0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1216.98,-0.001,0.0,0.004,0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1217.03,-0.001,0.0,0.004,0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.08,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.13,-0.001,0.0,0.004,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.18,-0.001,0.0,0.004,0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.036
1217.23,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.036
1217.28,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.037
1217.33,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.037
1217.38,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1217.43,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.48,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1217.53,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1217.58,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1217.63,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.68,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.73,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1217.78,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1217.83,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.88,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1217.93,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1217.98,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1218.03,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.032
1218.08,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.032
1218.13,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1218.18,-0.001,0.0,0.003,-0.001,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1218.23,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.031
1218.28,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.031
1218.33,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.032
1218.38,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1218.43,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1218.48,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1218.53,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1218.58,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1218.63,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1218.68,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1218.73,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1218.78,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1218.83,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1218.88,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1218.93,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1218.98,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1219.03,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1219.08,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1219.13,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.032
1219.18,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1219.23,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1219.28,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1219.33,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1219.38,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1219.43,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1219.48,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.034
1219.53,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1219.58,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1219.63,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.037
1219.68,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.037
1219.73,-0.001,0.0,0.003,0.0,0.0,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.035
1219.78,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1219.83,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.037
1219.88,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.037
1219.93,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.036
1219.98,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.036
1220.03,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.08,-0.001,0.0,0.003,0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.13,-0.001,0.0,0.003,-0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.18,-0.001,0.0,0.003,-0.001,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.23,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.28,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.33,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.38,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.43,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.48,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.53,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1220.58,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1220.63,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1220.68,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1220.73,-0.001,0.0,0.003,0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1220.78,-0.001,0.0,0.003,0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1220.83,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1220.88,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1220.93,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1220.98,-0.001,0.0,0.003,-0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1221.03,-0.001,0.0,0.003,-0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1221.08,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1221.13,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1221.18,-0.001,0.0,0.003,-0.002,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1221.23,-0.001,0.0,0.003,-0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1221.28,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1221.33,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1221.38,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1221.43,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1221.48,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1221.53,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.033
1221.58,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1221.63,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.032
1221.68,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576048,15,AUTO - LOITER,0.0,0.001,0.031
1221.73,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1221.78,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.03
1221.83,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.03
1221.88,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.029
1221.93,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.029
1221.98,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.03
1222.03,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.03
1222.08,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1222.13,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1222.18,-0.001,0.0,0.003,-0.003,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.23,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.28,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1222.33,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1222.38,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1222.43,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1222.48,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.53,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.58,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.63,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1222.68,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.73,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.78,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1222.83,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1222.88,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1222.93,-0.001,0.0,0.003,-0.0,0.001,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1222.98,-0.001,0.0,0.003,-0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1223.03,-0.001,0.0,0.003,-0.0,0.0,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.08,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.13,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.18,-0.001,0.0,0.003,-0.003,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.23,-0.001,0.0,0.003,-0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1223.28,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1223.33,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.38,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.43,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.48,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.53,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1223.58,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1223.63,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.68,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.73,-0.001,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1223.78,-0.001,0.0,0.003,-0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.031
1223.83,-0.0,0.0,0.003,-0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.88,-0.0,0.0,0.003,-0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1223.93,-0.0,0.0,0.002,-0.0,0.003,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1223.98,-0.001,0.0,0.002,-0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1224.03,-0.0,0.0,0.002,-0.0,0.004,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1224.08,-0.0,0.0,0.002,-0.0,0.005,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.032
1224.13,-0.0,0.0,0.002,-0.0,0.005,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1224.18,-0.0,0.0,0.002,-0.002,0.005,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1224.23,-0.001,0.0,0.002,-0.0,0.005,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1224.28,-0.001,0.0,0.002,-0.0,0.005,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.033
1224.33,-0.001,0.0,0.002,-0.0,0.005,16.2,0.0,100,-33.4672248,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1224.38,-0.001,0.0,0.002,-0.0,0.005,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1224.43,-0.0,0.0,0.003,-0.0,0.005,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1224.48,-0.0,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1224.53,-0.0,0.0,0.003,-0.0,0.004,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1224.58,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.035
1224.63,-0.001,0.0,0.003,-0.0,0.002,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1224.68,-0.001,0.0,0.003,-0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
1224.73,-0.001,0.0,0.003,-0.0,0.003,16.2,0.0,100,-33.4672249,-70.6576049,15,AUTO - LOITER,0.0,0.001,0.034
